Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

09:19:26 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:20:26 PM     all      6.26      0.00      6.76      0.04      0.00     86.94
09:21:26 PM     all      6.93      0.00      5.79      0.00      0.00     87.28
09:22:26 PM     all      4.58      0.00      1.83      0.00      0.00     93.59
09:23:26 PM     all      5.32      0.00      1.00      0.00      0.00     93.68
09:24:26 PM     all      5.08      0.00      1.28      0.00      0.00     93.65
09:25:26 PM     all      5.48      0.00      0.85      0.00      0.00     93.67
09:26:26 PM     all      4.33      0.00      2.03      0.00      0.00     93.64
09:27:26 PM     all      4.47      0.00      1.88      0.00      0.00     93.65
09:28:26 PM     all      6.06      0.00      0.26      0.00      0.00     93.68
09:29:26 PM     all      5.42      0.00      0.89      0.00      0.00     93.69
09:30:26 PM     all      4.80      0.00      1.60      0.00      0.00     93.60
