ctime,relname,pid,mode,granted
1416429197.31712,lineitem,14255,AccessShareLock,t
1416429197.31712,lineitem_l_orderkey_brin_idx,14255,AccessShareLock,t
1416429197.31712,lineitem_l_partkey_l_quantity_idx,14255,AccessShareLock,t
1416429197.31712,pg_locks,14261,AccessShareLock,t
1416429197.31712,pg_stat_activity,14259,AccessShareLock,t
1416429197.31712,pg_stat_all_indexes,14264,AccessShareLock,t
1416429197.31712,pg_stat_all_tables,14262,AccessShareLock,t
1416429197.31712,pg_stat_database,14265,AccessShareLock,t
1416429197.31712,pg_statio_all_indexes,14264,AccessShareLock,t
1416429197.31712,pg_statio_all_tables,14262,AccessShareLock,t
1416429197.31712,pk_lineitem,14255,AccessShareLock,t
1416429257.32013,customer,15927,AccessShareLock,t
1416429257.32013,customer,16060,AccessShareLock,t
1416429257.32013,customer,16048,AccessShareLock,t
1416429257.32013,customer_c_mktsegment_c_custkey_idx,16048,AccessShareLock,t
1416429257.32013,customer_c_mktsegment_c_custkey_idx,16060,AccessShareLock,t
1416429257.32013,customer_c_mktsegment_c_custkey_idx,15927,AccessShareLock,t
1416429257.32013,customer_c_nationkey_c_custkey_brin_idx,16048,AccessShareLock,t
1416429257.32013,customer_c_nationkey_c_custkey_brin_idx,16060,AccessShareLock,t
1416429257.32013,customer_c_nationkey_c_custkey_brin_idx,15927,AccessShareLock,t
1416429257.32013,customer_c_phone_idx,16048,AccessShareLock,t
1416429257.32013,customer_c_phone_idx,15927,AccessShareLock,t
1416429257.32013,customer_c_phone_idx,16060,AccessShareLock,t
1416429257.32013,customer_c_phone_idx_c_acctbal,16060,AccessShareLock,t
1416429257.32013,customer_c_phone_idx_c_acctbal,15927,AccessShareLock,t
1416429257.32013,customer_c_phone_idx_c_acctbal,16048,AccessShareLock,t
1416429257.32013,lineitem,15949,AccessShareLock,t
1416429257.32013,lineitem,16068,AccessShareLock,t
1416429257.32013,lineitem,16048,AccessShareLock,t
1416429257.32013,lineitem,16028,AccessShareLock,t
1416429257.32013,lineitem,15938,AccessShareLock,t
1416429257.32013,lineitem,16173,AccessShareLock,t
1416429257.32013,lineitem,16078,AccessShareLock,t
1416429257.32013,lineitem,16088,AccessShareLock,t
1416429257.32013,lineitem,16153,RowExclusiveLock,t
1416429257.32013,lineitem,16060,AccessShareLock,t
1416429257.32013,lineitem,15927,AccessShareLock,t
1416429257.32013,lineitem,16184,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,15938,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,15927,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,15949,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,16184,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,16068,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,16048,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,16028,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,16153,RowExclusiveLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,16173,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,16078,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,16088,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_brin_idx,16060,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,15938,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,16028,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,16068,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,16184,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,15949,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,16060,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,16048,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,15927,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,16088,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,16153,RowExclusiveLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,16078,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part1,16173,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,16068,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,16028,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,15938,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,16173,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,16153,RowExclusiveLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,16088,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,16078,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,15927,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,16048,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,16060,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,15949,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_idx_brin_part2,16184,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,16060,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,16184,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,16068,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,16048,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,16153,RowExclusiveLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,15949,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,16088,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,16078,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,16173,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,15938,AccessShareLock,t
1416429257.32013,lineitem_l_orderkey_l_linenumber_l_shipdate_brin_idx,16028,AccessShareLock,t
